date_and_time,hexagon_center,num_bikes_avg
2020-10-07T16:35:02,"34.14374729250285,-118.39637312105519",11.0
2020-10-07T15:49:02,"33.98276668860424,-118.44278948472193",10.142857142857142
2020-10-07T15:07:02,"34.077255303936035,-118.34222069677733",9.666666666666666
2020-10-07T14:28:03,"34.04925867717105,-118.2958043331106",9.142857142857142
2020-10-07T15:35:02,"34.066756568899166,-118.31901251494396",10.0
2020-10-07T14:56:01,"33.73429662606506,-118.2958043331106",10.0
2020-10-07T14:28:03,"34.03875994213419,-118.50467796961091",10.0
2020-10-07T14:35:02,"34.05275825551668,-118.47373372716642",9.904761904761905
2020-10-07T15:28:02,"34.07025614724479,-118.31127645433284",9.952380952380953
2020-10-07T16:21:02,"34.045759098825435,-118.52015009083316",7.666666666666667
2020-10-07T15:21:02,"34.15424602753972,-118.4659976665553",10.0
2020-10-07T14:28:03,"34.09125361731852,-118.2958043331106",8.666666666666666
2020-10-07T16:35:02,"34.09475319566415,-118.28806827249947",8.571428571428571
2020-10-07T14:42:02,"34.07375572559041,-118.28806827249947",9.380952380952381
2020-10-07T14:56:01,"34.03526036378857,-118.45052554533305",9.238095238095237
2020-10-07T16:21:02,"34.108751509046634,-118.31901251494396",7.619047619047619
2020-10-07T16:42:02,"34.02126205040608,-118.51241403022203",9.047619047619047
2020-10-07T14:42:02,"34.03875994213419,-118.48920584838866",8.857142857142858
2020-10-07T16:42:02,"34.066756568899166,-118.27259615127723",8.285714285714286
2020-10-07T15:07:02,"34.017762472060454,-118.47373372716642",8.285714285714286
2020-10-07T14:56:01,"34.08075488228165,-118.30354039372172",8.714285714285714
2020-10-07T16:42:02,"34.056257833862304,-118.31127645433284",8.666666666666666
2020-10-07T14:35:02,"34.03526036378857,-118.49694190899979",8.761904761904763
2020-10-07T16:14:02,"34.20324012437843,-118.4350534241108",9.0
2020-10-07T14:56:01,"34.02826120709732,-118.37316493922182",7.904761904761905
2020-10-07T16:00:03,"34.182242654304694,-118.38863706044407",8.80952380952381
2020-10-07T16:07:01,"34.16824434092221,-118.35769281799958",8.142857142857142
2020-10-07T16:35:02,"34.15424602753972,-118.37316493922182",7.9523809523809526
2020-10-07T14:42:02,"33.95826964018488,-118.45052554533305",9.0
2020-10-07T16:21:02,"34.09475319566415,-118.3654288786107",8.523809523809524
2020-10-07T14:35:02,"34.150746449194095,-118.3654288786107",8.333333333333334
2020-10-07T14:28:03,"34.024761628751705,-118.41184524227744",7.523809523809524
2020-10-07T14:42:02,"34.07025614724479,-118.2648600906661",7.714285714285714
2020-10-07T15:07:02,"34.189241810995945,-118.38863706044407",7.476190476190476
2020-10-07T14:56:01,"34.05275825551668,-118.30354039372172",7.714285714285714
2020-10-07T15:00:02,"33.74479536110193,-118.28806827249947",8.0
